X,Y,isinactive,lng,laststopid,vtype,bearing,globalid,lineid,ltype,routeid,delay,course,linename,lf,id,lastupdate,lat,finalstopid,objectid
16.73608,48.93787,false,16.73608,15403,4,45,{881F0DE1-49C4-4164-993C-E67F303FFB26},542,4,38,2,54202,542,false,21443,2023/09/29 16:54:49.288+00,48.93787,15729,2988183481
16.623251,49.226971,false,16.623251,1069,0,270,{1C713ADC-0866-4DC3-89D0-241ADB09093B},7,0,5103,0,00904,7,true,1931,2023/09/29 16:54:49.289+00,49.226971,1616,2988183482
16.543552,49.048302,false,16.543552,15137,4,180,{0A2DA0A5-65D6-4495-825C-12F7F25E227D},105,4,21,0,10501,105,true,21327,2023/09/29 16:54:49.289+00,49.048302,15714,2988183483
16.224003,48.872147,false,16.224003,18215,4,225,{77A4C4CA-E35B-4BE4-9DF5-C26EA4C59465},108,4,85,1,10808,108,true,21163,2023/09/29 16:54:49.289+00,48.872147,18009,2988183484
16.673267,49.133308,false,16.673267,1671,2,-1,{3E41C388-E9CE-4CD7-A462-32FB2AC65481},40,2,5104,0,04003,40,true,2028,2023/09/29 16:54:49.290+00,49.133308,1624,2988183485
16.635433,49.192863,false,16.635433,1116,0,90,{BC96F785-BBCC-462B-B928-4C23DF0DDB2E},9,0,5213,2,00914,9,true,1836,2023/09/29 16:54:49.286+00,49.192863,1212,2988183486
16.869186,48.750389,false,16.869186,15752,4,135,{54117B37-35CD-4439-BE3A-7447CFA21238},568,4,13,4,56002,568,true,21889,2023/09/29 16:54:49.286+00,48.750389,15764,2988183487
16.576115,49.191578,false,16.576115,1343,0,315,{8D369A19-7ACC-4F8F-B69C-29B56BE7EEAE},7,0,5504,0,00709,7,true,1841,2023/09/29 16:54:49.286+00,49.191578,1343,2988183488
16.424095,49.55209,false,16.424095,12767,4,45,{A34ED208-AFA2-481F-A764-217CC5DCA256},301,4,118,0,30104,301,true,21062,2023/09/29 16:54:49.286+00,49.55209,1286,2988183489
16.770971,49.192558,false,16.770971,16140,4,270,{B3E9E596-DC2A-4BA3-B545-46EDA8E894F5},702,4,142,3,70208,702,true,21627,2023/09/29 16:54:49.287+00,49.192558,1716,2988183490
16.609121,49.480255,false,16.609121,12676,4,0,{6685BDBD-1D00-425A-8F09-37541CFD7D1E},250,4,105,1,23404,250,true,21546,2023/09/29 16:54:49.288+00,49.480255,12643,2988183491
16.593107,49.223747,false,16.593107,1171,2,225,{A9F30765-FC4D-4DA1-8D99-90A00D69E7BB},44,2,5173,0,04402,44,true,2670,2023/09/29 16:54:49.288+00,49.223747,1696,2988183492
16.597218,49.191757,false,16.597218,1378,0,90,{492864C0-BDF6-4DD5-9E34-5F7BE23415EA},5,0,5206,0,01004,5,true,1825,2023/09/29 16:54:49.288+00,49.191757,1646,2988183493
16.673691,49.210613,false,16.673691,1623,2,135,{CBC597FF-0A1F-47B3-8DCF-0F4484D6BB7A},78,2,1111,2,07813,78,true,2002,2023/09/29 16:54:49.289+00,49.210613,15130,2988183494
16.621597,49.175457,false,16.621597,1256,0,90,{805BEE3B-E2D0-49D1-A96B-A1F4E9AEF3F4},12,0,5218,0,01213,12,true,1132,2023/09/29 16:54:49.291+00,49.175457,1659,2988183495
16.616301,49.168659,false,16.616301,1156,2,0,{8E81752E-A975-4353-A630-737B526C282E},49,2,5097,4,04901,49,true,7675,2023/09/29 16:54:49.291+00,49.168659,1716,2988183496
16.554533,49.171474,false,16.554533,1616,0,0,{66A27622-E568-47E3-AFA4-1B8C55AA4B99},7,0,5097,4,00912,7,true,1914,2023/09/29 16:54:49.291+00,49.171474,1616,2988183497
15.853425,49.086094,false,15.853425,28502,5,90,{6237D6B1-26C8-450C-8EB1-D86F38017BBB},138,5,24822,6,13824,S81,true,30097,2023/09/29 16:54:49.291+00,49.086094,28502,2988183498
16.572042,49.414688,false,16.572042,12450,4,90,{9790F3CA-B038-4E0C-95D2-05B7ECF65BE8},250,4,13,0,25002,250,true,21173,2023/09/29 16:54:49.291+00,49.414688,12633,2988183499
16.729713,49.087532,false,16.729713,16150,4,225,{AFEE236B-6D6C-4FCB-9C0D-D8CFA5D469E6},612,4,172,1,61221,612,false,21574,2023/09/29 16:54:49.290+00,49.087532,16149,2988183500
16.672338,49.183804,false,16.672338,1757,2,-1,{91098393-4E83-4132-B69B-DE38BAD78C38},75,2,1123,0,07501,75,true,7681,2023/09/29 16:54:49.291+00,49.183804,1452,2988183501
16.604485,49.12653,false,16.604485,15134,0,135,{9169E28B-6FD7-48F8-AC56-C51A2A529F9F},2,0,5224,0,00206,2,true,1934,2023/09/29 16:54:49.292+00,49.12653,1611,2988183502
16.529793,49.191658,false,16.529793,1658,1,180,{F854AA98-E4D8-44F4-BA3C-DC99F1B77CD3},37,1,5188,2,03909,37,true,3306,2023/09/29 16:54:49.292+00,49.191658,1209,2988183503
